TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,260485,23,0,"(640, 360)",520.449030520449,273539.0,70.0,1102.4961850368054,4000.0,1082.3972334552122,14.986469205000002,"[520.449030520449, 836.166996836167, 1445.1054494451055, 2861.8353028618353]"
4000,1,4000,819361,23,2,"(1280, 720)",1637.0832796370833,273539.0,94.977448675,0.0,4544.332136010798,3233.061403156021,14.153270720000013,"[619.6697106196697, 981.0060129810059, 1637.0832796370833, 3337.680981337681]"
8000,2,4000,969534,23,2,"(1280, 720)",1937.128933937129,273539.0,93.58878453333335,0.0,4426.854844693888,3842.403026426924,12.669327729166675,"[720.8803987208804, 1158.4164251584164, 1937.128933937129, 3921.46061792146]"
12000,3,4000,649264,23,1,"(854, 480)",1297.2294732972296,270591.0,94.61624189166666,0.0,5641.648656107969,2604.334267998412,11.796701450000015,"[821.183994821184, 1297.2294732972296, 2152.2575901522578, 4283.400316283401]"
16000,4,4000,891863,23,2,"(1280, 720)",1781.9422757819423,271436.0,93.58416616666668,0.0,6015.545008054234,3538.653818560312,12.91346437083332,"[689.9853246899853, 1074.2386870742387, 1781.9422757819423, 3542.6258315426257]"
20000,5,4000,799065,23,2,"(1280, 720)",1596.5318715965318,271436.0,95.62514759999998,0.0,6931.438335146953,3157.110620882177,12.451372658333346,"[636.9364266369364, 989.931078989931, 1596.5318715965318, 3161.747091161747]"
24000,6,4000,1046577,23,2,"(1280, 720)",2091.060848091061,274410.0,94.68298212500002,0.0,6989.761706511468,4108.023132609108,13.776336640000022,"[791.6135947916135, 1336.8418213368416, 2091.060848091061, 4206.785008206784]"
28000,7,4000,931937,23,1,"(854, 480)",1862.0101278620102,270762.0,97.23141900000003,0.0,7615.007602714128,3703.057577464614,14.971153627500001,"[1052.856091052856, 1862.0101278620102, 2834.5985668345984, 5887.934177887934]"
32000,8,4000,1199972,23,2,"(1280, 720)",2397.544058397544,270762.0,99.06575306666667,0.0,7170.0809341696,4656.659095263408,14.272125689999957,"[916.4026809164026, 1492.7018054927016, 2397.544058397544, 4710.167122710168]"
36000,9,4000,1052876,23,2,"(1280, 720)",2103.646250103646,276455.0,98.32544598333327,0.0,7071.0420209631375,4117.431382579925,15.554434570833358,"[827.4477248274477, 1315.2434413152434, 2103.646250103646, 4191.2285801912285]"
